국가별,시점,국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100)
일본,2020,-,-,-,641341,634430,126476,2.8,105.5
터키,1995,169.5,2898,7.9,21599,35710,58486,7.6,1.3
터키,1996,181.5,3054,7.4,23245,43628,59423,6.6,2.4
터키,1997,189.8,3144,7.6,26260,48560,60373,6.8,4.4
터키,1998,276,4500,2.4,26881,45921,61330,6.9,8.1
터키,1999,256.4,4116,-3.3,26587,40226,62287,7.7,13.3
터키,2000,274.3,4337,6.9,27701,54367,63240,6.5,20.6
터키,2001,201.8,3143,-5.8,31331,41454,64192,8.4,31.8
터키,2002,240.3,3688,6.4,35974,51551,65145,10.4,46.1
터키,2003,314.6,4760,5.8,47125,69453,66089,10.5,56.1
터키,2004,408.9,6102,9.8,63196,97779,67011,10.8,60.9
터키,2005,506.3,7456,9,73715,117115,67903,10.6,65.9
터키,2006,557.1,8102,6.9,86003,140234,68757,8.7,72.2
터키,2007,681.3,9792,5,107654,170837,69582,8.9,78.5
터키,2008,770.5,10941,0.8,132446,201851,70419,9.7,86.7
터키,2009,649.3,9103,-4.8,102471,141186,71321,12.6,92.1
터키,2010,777,10743,8.4,114022,185531,72327,10.7,100
터키,2011,838.8,11421,11.2,135288,241076,73443,8.8,106.5
터키,2012,880.6,11796,4.8,152905,237310,74651,8.2,115.9
터키,2013,957.8,12615,8.5,161698,260639,75925,8.7,124.6
터키,2014,939,12158,4.9,166658,250916,77229,9.9,135.7
터키,2015,864.3,11006,6.1,151158,213281,78529,10.2,146.1
터키,2016,869.7,10895,3.3,149390,202089,79828,10.8,157.4
터키,2017,859,10590,7.5,164671,238662,81116,10.8,175
터키,2018,778.4,9453,3,177328,230447,82340,10.9,203.5
터키,2019,761.4,9127,0.9,181021,210261,83430,13.7,234.4
터키,2020,720.1,8538,1.8,169835,219758,84339,13.1,263.2
캐나다,1995,604,20614,-,191160,-,29164,9.5,75.2
캐나다,1996,628.5,21227,-,202319,-,29458,9.6,76.4
캐나다,1997,655,21902,-,215241,-,29742,9.1,77.6
캐나다,1998,634,21025,2.8,214647,-,30022,8.3,78.4
캐나다,1999,678.4,22315,4,239341,-,30303,7.6,79.7
캐나다,2000,744.8,24271,4.9,288057,243646,30588,6.8,81.9
캐나다,2001,739,23822,1.4,270824,225847,30880,7.2,84
캐나다,2002,760.6,24255,3.4,262476,226952,31178,7.7,85.9
캐나다,2003,895.5,28300,3.8,283926,244646,31488,7.6,88.2
캐나다,2004,1026.7,32144,3.9,328673,279361,31815,7.2,89.9
캐나다,2005,1173.1,36383,5,370734,320129,32164,6.8,91.9
캐나다,2006,1319.3,40504,4.2,398470,356714,32537,6.3,93.7
캐나다,2007,1468.8,44660,6.9,430613,388490,32931,6,95.7
캐나다,2008,1553,46711,1,460709,417928,33338,6.1,98
캐나다,2009,1374.6,40876,-2.9,322965,329000,33746,8.3,98.3
캐나다,2010,1617.3,47562,3.1,392346,401709,34148,8.1,100
캐나다,2011,1793.3,52224,3.1,461441,461006,34539,7.5,102.9
캐나다,2012,1828.4,52669,1.8,461876,475105,34922,7.3,104.5
캐나다,2013,1846.6,52635,2.3,465271,473160,35297,7.1,105.5
캐나다,2014,1805.7,50956,2.9,479377,475000,35664,6.9,107.5
캐나다,2015,1556.5,43596,0.7,410200,429490,36027,6.9,108.7
캐나다,2016,1528,42316,1,394055,413106,36383,7,110.2
캐나다,2017,1649.3,45129,3,424216,443282,36732,6.3,112
캐나다,2018,1721.9,46455,2.4,453475,468729,37075,5.8,114.5
캐나다,2019,1741.6,46327,1.9,450805,462392,37411,5.7,116.8
캐나다,2020,1643.4,43242,-5.4,392129,419688,37742,9.5,117.6
멕시코,1995,360.1,3928,-6.3,79542,75858,91663,7.1,26.4
멕시코,1996,411,4412,6.8,96000,93376,93147,5.5,35.5
멕시코,1997,500.4,5289,6.8,110431,114855,94611,4.2,42.8
멕시코,1998,526.5,5481,5.2,117460,130945,96056,3.7,49.6
멕시코,1999,600.2,6157,2.8,136391,148648,97485,2.6,57.8
멕시코,2000,707.9,7158,4.9,166072,19319,98900,2.7,63.3
멕시코,2001,756.7,7545,-0.4,158821,18884,100298,2.6,67.3
멕시코,2002,772.1,7593,0,161124,18294,101685,3,70.7
멕시코,2003,729.3,7075,1.4,164846,16545,103081,3.5,73.9
멕시코,2004,782.2,7484,3.9,187956,18246,104515,3.9,77.4
멕시코,2005,877.5,8278,2.3,214074,21351,106005,3.6,80.5
멕시코,2006,975.4,9068,4.5,250015,24588,107560,3.6,83.4
멕시코,2007,1052.7,9643,2.3,271881,27023,109171,3.6,86.7
멕시코,2008,1110,10017,1.1,291856,29448,110815,3.9,91.2
멕시코,2009,900,8003,-5.3,229515,18239,112464,5.4,96
멕시코,2010,1057.8,9271,5.1,298384,25085,114093,5.3,100
멕시코,2011,1180.5,10203,3.7,349730,29724,115695,5.2,103.4
멕시코,2012,1201.1,10242,3.6,370289,29590,117274,4.9,107.7
멕시코,2013,1274.4,10725,1.4,379963,31366,118827,4.9,111.8
멕시코,2014,1315.4,10929,2.8,397280,31617,120355,4.8,116.2
멕시코,2015,1171.9,9617,3.3,381170,26214,121858,4.3,119.4
멕시코,2016,1078.5,8745,2.6,373175,20753,123333,3.9,122.8
멕시코,2017,1158.9,9288,2.1,408301,22325,124777,3.4,130.2
멕시코,2018,1222.3,9687,2.2,449221,24145,126191,3.3,136.6
멕시코,2019,1268.9,9946,-0.1,459597,-,127576,3.5,141.5
멕시코,2020,1076.2,8347,-8.2,416235,-,128933,4.5,146.4
미국,1995,7639.7,28691,2.7,584743,770852,265164,5.7,69.9
미국,1996,8073.1,29968,3.8,625073,822025,268335,5.5,71.9
미국,1997,8577.6,31459,4.4,689182,899020,271714,5,73.6
미국,1998,9062.8,32854,4.5,682138,944353,275175,4.5,74.8
미국,1999,9630.7,34514,4.8,695797,1059435,278548,4.2,76.4
미국,2000,10252.3,36335,4.1,781918,1259297,281711,4,79
미국,2001,10581.8,37133,1,729100,1179177,284608,4.7,81.2
미국,2002,10936.4,38023,1.7,693103,1200227,287279,5.8,82.5
미국,2003,11458.2,39496,2.9,724771,1303050,289816,6,84.4
미국,2004,12213.7,41713,3.8,814875,1525516,292355,5.5,86.6
미국,2005,13036.6,44115,3.5,901082,1735061,294994,5.1,89.6
미국,2006,13814.6,46299,2.9,1025967,1918077,297759,4.6,92.4
미국,2007,14451.9,47976,1.9,1148199,2020403,300608,4.6,95.1
미국,2008,14712.8,48383,-0.1,1287442,2169487,303486,5.8,98.7
미국,2009,14448.9,47100,-2.5,1056000,1559700,306308,9.3,98.4
미국,2010,14992.1,48467,2.6,1278300,1913800,309011,9.6,100
미국,2011,15542.6,49883,1.6,1482400,2208000,311584,9,103.2
미국,2012,16197,51603,2.2,1545800,2276000,314044,8.1,105.3
미국,2013,16784.8,53107,1.8,1578500,2268100,316401,7.4,106.8
미국,2014,17527.2,55050,2.5,1621700,2356100,318673,6.2,108.6
미국,2015,18238.3,56863,3.1,1503400,2248800,320878,5.3,108.7
미국,2016,18745.1,58021,1.7,1451500,2186800,323016,4.9,110.1
미국,2017,19543,60110,2.3,1547200,2339600,325085,4.4,112.4
미국,2018,20611.9,63064,3,1665700,2537700,327096,3.9,115.2
미국,2019,21433.2,65280,2.2,1643100,2497500,329065,3.7,117.2
미국,2020,20936.6,63544,-3.5,-,-,331003,8.1,118.7
칠레,1995,73.4,5107,8.9,16016,-,14381,4.7,57.3
칠레,1996,78,5350,6.8,16657,-,14587,7.4,61.5
칠레,1997,85,5745,7.4,17902,-,14786,7.1,65.3
칠레,1998,81.6,5447,4.3,16353,-,14978,7.3,68.7
칠레,1999,75.2,4958,-0.4,17194,-,15163,11.2,70.9
칠레,2000,77.9,5075,5.3,19210,-,15342,10.5,73.7
칠레,2001,71,4575,3.3,18272,-,15516,10.4,76.3
칠레,2002,69.7,4446,3.1,18180,-,15684,10.2,78.2
칠레,2003,75.6,4773,4.1,21651,-,15850,9.8,80.4
칠레,2004,99.2,6195,7.2,33025,-,16015,10.2,81.2
칠레,2005,123,7599,5.7,41974,-,16183,9.3,83.7
칠레,2006,154.8,9465,6.3,59380,-,16355,9,86.6
칠레,2007,173.6,10502,4.9,68561,-,16530,8.4,90.4
칠레,2008,179.6,10751,3.5,64510,-,16708,9.3,98.3
칠레,2009,172.4,10209,-1.6,55463,-,16886,11.3,98.6
칠레,2010,218.5,12808,5.8,71109,-,17063,8.4,100
칠레,2011,252.3,14637,6.1,81438,-,17234,7.3,103.3
칠레,2012,267.1,15352,5.3,78063,-,17400,6.7,106.4
칠레,2013,278.4,15843,4,76770,-,17572,6.2,108.4
칠레,2014,260.5,14671,1.8,75065,-,17759,6.7,113.5
칠레,2015,243.9,13574,2.3,62035,-,17969,6.5,118.4
칠레,2016,250.4,13754,1.7,60718,-,18209,6.7,122.9
칠레,2017,277,14999,1.2,68823,-,18470,7,125.6
칠레,2018,297.6,15888,3.7,75200,-,18729,7.2,128.6
칠레,2019,279.4,14742,0.9,69889,-,18952,7.3,131.9
칠레,2020,252.9,13232,-5.8,71728,-,19116,11.2,135.9
콜롬비아,1995,92.5,2540,5.2,10201,13853,36421,8.7,28.3
콜롬비아,1996,97.2,2621,2.1,10654,13684,37076,11.8,34.2
콜롬비아,1997,106.7,2827,3.4,11556,15378,37724,12.1,40.5
콜롬비아,1998,98.4,2566,0.6,10890,14635,38364,15,48.1
콜롬비아,1999,86.2,2210,-4.2,7,9,38999,20.1,53.3
콜롬비아,2000,99.9,2520,2.9,13159,11757,39630,20.5,58.2
콜롬비아,2001,98.2,2440,1.7,12330,12821,40256,15,62.9
콜롬비아,2002,98,2397,2.5,11975,12695,40875,14.5,66.8
콜롬비아,2003,94.6,2281,3.9,13129,13882,41484,13.2,71.6
콜롬비아,2004,117.1,2783,5.3,16788,16764,42076,12.7,75.8
콜롬비아,2005,145.6,3414,4.8,21146,21204,42648,11.1,79.7
콜롬비아,2006,161.6,3741,6.7,24512,26163,43201,11.3,83.1
콜롬비아,2007,206.2,4714,6.7,30279,32897,43738,10.3,87.7
콜롬비아,2008,242.2,5473,3.3,36787,39666,44255,10.5,93.8
콜롬비아,2009,232.4,5193,1.1,32846,32891,44750,11.3,97.8
콜롬비아,2010,286.6,6337,4.5,39713,40486,45223,11,100
콜롬비아,2011,334.9,7335,6.9,56915,54233,45663,10.1,103.4
콜롬비아,2012,370.9,8050,3.9,60125,59048,46076,9.7,106.7
콜롬비아,2013,382.1,8218,5.1,58826,59381,46495,9.1,108.8
콜롬비아,2014,381.1,8114,4.5,54857,64029,46968,8.6,112
콜롬비아,2015,293.5,6176,3,36018,54058,47521,8.3,117.6
콜롬비아,2016,282.8,5871,2.1,31768,44890,48175,8.7,126.4
콜롬비아,2017,311.9,6377,1.4,38022,46071,48910,8.9,131.9
콜롬비아,2018,334.2,6730,2.6,41905,51230,49661,9.1,136.2
콜롬비아,2019,323.4,6425,3.3,39489,52703,50339,10,141
콜롬비아,2020,271.3,5333,-6.8,31056,43489,50883,15,144.5
코스타리카,1995,11.6,3266,4.2,2702,3253,3546,5.2,20.6
코스타리카,1996,11.7,3215,1.4,2983,3462,3632,6.2,24.2
코스타리카,1997,12.6,3392,5.5,3509,4252,3719,5.7,27.4
코스타리카,1998,13.7,3597,7.2,5526,6239,3804,5.3,30.6
코스타리카,1999,14.3,3669,4.2,6662,6355,3885,5.9,33.7
코스타리카,2000,15,3789,3.9,5932,6339,3962,5.1,37.4
코스타리카,2001,16,3960,3.5,5060,6571,4034,5.9,41.6
코스타리카,2002,16.6,4043,3.4,5289,7315,4101,6.3,45.4
코스타리카,2003,17.3,4148,4.3,6164,7906,4164,6.6,49.7
코스타리카,2004,18.6,4405,4.4,6441,8293,4225,6.4,55.8
코스타리카,2005,20,4676,4,7151,9641,4286,6.6,63.5
코스타리카,2006,22.7,5227,7.3,8453,12741,4345,5.7,70.8
코스타리카,2007,26.9,6104,8.2,9569,14096,4405,4.5,77.4
코스타리카,2008,30.8,6901,4.7,9606,15289,4463,4.8,87.8
코스타리카,2009,30.7,6801,-0.9,8837,11554,4521,7.7,94.6
코스타리카,2010,37.7,8227,5.4,9045,13921,4577,7.2,100
코스타리카,2011,42.8,9230,4.4,10224,18265,4633,10.1,104.9
코스타리카,2012,47.2,10075,4.9,11267,18316,4688,9.8,109.6
코스타리카,2013,50.9,10744,2.5,11480,18128,4742,8.8,115.3
코스타리카,2014,52,10847,3.5,11250,17558,4795,9.1,120.5
코스타리카,2015,56.4,11643,3.7,9422,16274,4848,9,121.5
코스타리카,2016,58.8,12011,4.2,10500,16143,4899,8.6,121.5
코스타리카,2017,60.5,12226,4.2,10913,16796,4950,8.1,123.5
코스타리카,2018,62.3,12469,2.1,11521,18247,4999,9.6,126.2
코스타리카,2019,64,12670,2.2,11864,17573,5048,11.5,128.8
코스타리카,2020,61.5,12077,-4.5,12443,15237,5094,17.4,129.8
오스트리아,1995,241,30326,2.7,57642,66386,7990,4.4,77.1
오스트리아,1996,237.3,29809,2.3,57818,67331,8018,5.3,78.5
오스트리아,1997,212.8,26705,2.1,58590,64776,8033,5.2,79.5
오스트리아,1998,218.3,27362,3.6,62742,68183,8041,5.5,80.3
오스트리아,1999,217.2,27174,3.6,64126,69558,8051,4.7,80.7
오스트리아,2000,196.8,24564,3.4,67479,72143,8069,4.7,82.6
오스트리아,2001,197.3,24538,1.3,70782,74689,8098,4,84.8
오스트리아,2002,213.4,26402,1.7,78716,78308,8134,4.9,86.3
오스트리아,2003,261.7,32223,0.9,97255,99615,8176,4.8,87.5
오스트리아,2004,300.9,36822,2.7,118359,119961,8217,5.8,89.3
오스트리아,2005,316,38403,2.2,125007,127145,8254,5.6,91.4
오스트리아,2006,336,40635,3.5,136933,137388,8285,5.2,92.7
오스트리아,2007,388.7,46856,3.7,163839,163281,8314,4.9,94.7
오스트리아,2008,430.3,51709,1.5,181576,184335,8342,4.1,97.7
오스트리아,2009,400.2,47963,-3.8,137050,143075,8373,5.3,98.2
오스트리아,2010,391.9,46858,1.8,152443,158928,8410,4.8,100
오스트리아,2011,431.1,51375,2.9,177490,191446,8454,4.6,103.3
오스트리아,2012,409.4,48568,0.7,166757,178658,8502,4.9,105.9
오스트리아,2013,430.1,50717,0,175118,183243,8556,5.3,108
오스트리아,2014,442,51717,0.7,178238,182092,8615,5.6,109.7
오스트리아,2015,381.8,44178,1,152759,156078,8679,5.7,110.7
오스트리아,2016,395.6,45277,2,152054,157657,8747,6,111.7
오스트리아,2017,416.2,47309,2.4,168059,175789,8820,5.5,114
오스트리아,2018,454.9,51453,2.6,184778,193682,8891,4.9,116.3
오스트리아,2019,445.1,50122,1.4,178660,184747,8955,4.5,118.1
오스트리아,2020,429,48105,-6.6,168920,171944,9006,5.4,119.7
벨기에,1995,288,28414,2.4,175849,159683,10186,9.3,75
벨기에,1996,279.2,27490,1.3,175356,163604,10208,9.5,76.5
벨기에,1997,252.7,24821,3.8,171881,157260,10224,9,77.8
벨기에,1998,258.5,25338,2,179078,164669,10237,9.3,78.5
벨기에,1999,258.2,25244,3.5,178979,164612,10255,8.7,79.4
벨기에,2000,236.2,23042,3.7,187887,177005,10282,6.6,81.4
벨기에,2001,236.5,22995,1.1,190352,178718,10319,6.2,83.4
벨기에,2002,257.2,24888,1.7,215971,198223,10365,6.9,84.8
벨기에,2003,317.4,30588,1,255631,234962,10419,7.7,86.2
벨기에,2004,368.5,35364,3.6,306807,285611,10480,7.4,88
벨기에,2005,385.6,36796,2.3,334278,318589,10547,8.4,90.4
벨기에,2006,407.9,38673,2.6,366760,351571,10619,8.3,92
벨기에,2007,470.3,44263,3.7,431120,412012,10698,7.5,93.7
벨기에,2008,515.2,48107,0.4,473350,467382,10779,7,97.9
벨기에,2009,481.3,44584,-2,371147,354782,10860,7.9,97.9
벨기에,2010,481,44142,2.9,407705,391275,10939,8.3,100
벨기에,2011,522.6,47349,1.7,475775,466916,11014,7.1,103.5
벨기에,2012,496.2,44673,0.7,446337,439536,11085,7.5,106.5
벨기에,2013,521.6,46745,0.5,468624,451580,11154,8.4,107.7
벨기에,2014,534.7,47701,1.6,472198,453706,11221,8.5,108
벨기에,2015,462.1,40992,2,396773,375541,11288,8.5,108.6
벨기에,2016,475.7,41984,1.3,398391,379428,11354,7.8,110.8
벨기에,2017,501.5,44089,1.6,429640,409210,11420,7.1,113.1
벨기에,2018,543.4,47555,1.8,468638,454968,11482,6,115.5
벨기에,2019,533.3,46414,1.8,446901,427845,11539,5.4,117.1
벨기에,2020,515.3,44594,-6.3,419910,396125,11590,5.6,118
체코,1995,60.1,5824,6.5,21685,-,10358,4,56.2
체코,1996,67.4,6533,4.3,22425,-,10350,3.9,61.1
체코,1997,62.2,6034,-0.5,22701,-,10338,4.3,66.3
체코,1998,66.8,6490,-0.4,26418,-,10323,5.9,73.4
체코,1999,65.2,6337,1.4,26241,-,10306,8.5,75
체코,2000,61.8,6029,4,28996,-,10289,8.8,77.8
체코,2001,67.8,6637,3,33399,-,10271,8,81.4
체코,2002,82.2,8061,1.6,38488,-,10252,7,83
체코,2003,100.1,9819,3.6,48709,-,10239,7.5,83.1
체코,2004,119.8,11750,4.8,67194,-,10239,8.2,85.4
체코,2005,137.1,13431,6.6,77985,76340,10258,7.9,87
체코,2006,156.3,15262,6.8,95143,93430,10299,7.2,89.2
체코,2007,190.2,18467,5.6,122760,118467,10358,5.3,91.7
체코,2008,236.8,22805,2.7,146406,142172,10425,4.4,97.6
체코,2009,207.4,19862,-4.7,113176,105256,10488,6.7,98.5
체코,2010,209.1,19960,2.4,133020,126600,10537,7.3,100
체코,2011,229.6,21871,1.8,162897,152122,10567,6.7,101.9
체코,2012,208.9,19871,-0.8,157167,141515,10581,7,105.3
체코,2013,211.7,20133,0,162302,144320,10587,7,106.8
체코,2014,209.4,19891,2.3,175017,154233,10591,6.1,107.1
체코,2015,188,17830,5.4,157881,141367,10601,5.1,107.5
체코,2016,196.3,18575,2.5,162716,143041,10619,4,108.2
체코,2017,218.6,20636,5.2,182236,163374,10641,2.9,110.9
체코,2018,249,23420,3.2,202751,185102,10666,2.2,113.3
체코,2019,250.7,23490,2.3,199676,179569,10689,2,116.5
체코,2020,243.5,22762,-5.6,192574,171073,10709,2.6,120.2
덴마크,1995,185,35351,3,51478,45728,5233,7,72.9
덴마크,1996,187.6,35651,2.9,51480,45004,5255,6.8,74.4
덴마크,1997,173.5,32836,3.3,49119,44406,5278,5.4,76
덴마크,1998,177,33368,2.2,48839,46330,5300,5,77.4
덴마크,1999,178,33441,2.9,50399,44519,5322,5.1,79.4
덴마크,2000,164.2,30744,3.7,50380,44356,5341,4.5,81.7
덴마크,2001,164.8,30752,0.8,51068,44124,5358,4.2,83.6
덴마크,2002,178.6,33229,0.5,56304,48886,5373,4.3,85.6
덴마크,2003,218.1,40459,0.4,65267,56216,5387,5.4,87.4
덴마크,2004,251.4,46512,2.7,75620,66886,5403,5.2,88.4
덴마크,2005,264.5,48800,2.3,82278,72710,5422,4.8,90
덴마크,2006,282.9,52027,3.9,90903,84161,5444,3.9,91.7
덴마크,2007,319.4,58487,0.9,101942,97344,5470,3.8,93.3
덴마크,2008,353.4,64322,-0.5,116331,109013,5498,3.7,96.5
덴마크,2009,321.2,58163,-4.9,92115,80107,5526,6.4,97.7
덴마크,2010,322,58041,1.9,96220,82720,5555,7.8,100
덴마크,2011,344,61754,1.3,112706,96004,5583,7.8,102.8
덴마크,2012,327.1,58508,0.2,106102,91325,5611,7.8,105.2
덴마크,2013,343.6,61191,0.9,110470,97257,5638,7.4,106.1
덴마크,2014,353,62549,1.6,110739,99032,5664,6.9,106.7
덴마크,2015,302.7,53255,2.3,94567,85211,5689,6.3,107.1
덴마크,2016,313.1,54664,3.2,94731,84430,5711,6,107.4
덴마크,2017,332.1,57610,2.8,101573,92251,5732,5.8,108.6
덴마크,2018,356.9,61599,2.2,108524,101666,5752,5.1,109.5
덴마크,2019,350.1,60213,2.8,109989,97209,5772,5,110.3
덴마크,2020,355.2,60909,-2.7,107227,96800,5792,5.6,110.8
에스토니아,1995,4.5,3131,-,1839,2545,1433,9.7,42
에스토니아,1996,4.8,3377,4.9,2076,3223,1418,9.9,51.7
에스토니아,1997,5.1,3678,13,2924,4429,1410,10.4,57.2
에스토니아,1998,5.7,4088,4.3,3199,4725,1406,9.5,61.8
에스토니아,1999,5.8,4145,-0.4,2408,3428,1404,11.6,63.9
에스토니아,2000,5.7,4076,10.1,3166,4234,1399,13.4,66.5
에스토니아,2001,6.3,4509,6,3314,4300,1392,13.1,70.3
에스토니아,2002,7.4,5345,6.8,3448,4811,1383,10,72.8
에스토니아,2003,9.9,7206,7.6,4539,6481,1373,11.3,73.8
에스토니아,2004,12.1,8913,6.8,5934,8334,1364,10.3,76
에스토니아,2005,14.1,10406,9.5,7698,10213,1356,8,79.1
에스토니아,2006,17,12632,9.7,9705,13472,1349,5.9,82.6
에스토니아,2007,22.4,16742,7.6,11018,15686,1344,4.6,88.1
에스토니아,2008,24.4,18227,-5.1,12472,16059,1340,5.5,97.2
에스토니아,2009,19.7,14795,-14.4,9065,10149,1336,13.6,97.1
에스토니아,2010,19.7,14784,2.7,11598,12286,1332,16.7,100
에스토니아,2011,23.4,17624,7.4,16728,17478,1328,12.3,105
에스토니아,2012,23.2,17534,3.1,16087,18092,1323,10,109.1
에스토니아,2013,25.3,19174,1.3,16316,18459,1319,8.6,112.1
에스토니아,2014,26.8,20367,3,16043,18296,1316,7.4,112
에스토니아,2015,23,17522,1.8,12836,14521,1315,6.2,111.5
에스토니아,2016,24.3,18437,3.2,13171,14959,1317,6.8,111.6
에스토니아,2017,26.9,20408,5.5,14558,16674,1319,5.8,115.5
에스토니아,2018,30.6,23159,4.4,17017,19140,1323,5.4,119.4
에스토니아,2019,31.5,23718,5,16112,18022,1326,4.5,122.1
에스토니아,2020,31,23312,-2.9,16375,17335,1327,6.8,121.6
핀란드,1995,134.2,26272,4.2,39573,28114,5119,17,80
핀란드,1996,132.1,25783,3.7,38435,29264,5137,15.6,80.5
핀란드,1997,126.9,24692,6.3,39316,29784,5152,15,81.4
